date,amount,emp_id,vendor,category,department
2024-04-16,1135,FIN0001,Swiggy,Software,Finance
2024-04-16,1304,FIN0002,Swiggy,Travel,Finance
2024-04-16,2439,FIN0003,Swiggy,Software,Finance
2024-04-16,3627,FIN0004,Flipkart,Office,Finance
2024-04-16,1798,FIN0005,Flipkart,Software,Finance
2024-04-16,752,FIN0006,Flipkart,Food,Finance
2024-04-16,2880,FIN0007,Swiggy,Food,Finance
2024-04-16,2961,FIN0008,MakeMyTrip,Travel,Finance
2024-04-16,2953,FIN0009,Amazon,Software,Finance
2024-04-16,1490,FIN0010,Swiggy,Travel,Finance
2024-04-16,648,FIN0011,MakeMyTrip,Electronics,Finance
2024-04-16,749,FIN0012,Uber,Electronics,Finance
2024-04-16,1409,FIN0013,Amazon,Electronics,Finance
2024-04-16,379,FIN0014,Swiggy,Office,Finance
2024-04-16,919,FIN0015,Swiggy,Travel,Finance
2024-04-16,2331,FIN0016,Flipkart,Electronics,Finance
2024-04-16,451,FIN0017,Swiggy,Office,Finance
2024-04-16,1942,FIN0018,Uber,Travel,Finance
2024-04-16,3056,FIN0019,MakeMyTrip,Food,Finance
2024-04-16,791,FIN0020,Uber,Office,Finance
2024-04-16,219,FIN0021,Uber,Office,Finance
2024-04-16,965,FIN0022,Amazon,Food,Finance
2024-04-16,2643,FIN0023,MakeMyTrip,Electronics,Finance
2024-04-16,3833,FIN0024,Flipkart,Travel,Finance
2024-04-16,906,FIN0025,Swiggy,Software,Finance
2024-04-16,2811,FIN0026,MakeMyTrip,Travel,Finance
2024-04-16,399,FIN0027,Swiggy,Travel,Finance
2024-04-16,3077,FIN0028,Uber,Food,Finance
2024-04-16,3649,FIN0029,Amazon,Office,Finance
2024-04-16,1099,FIN0030,MakeMyTrip,Software,Finance
2024-04-16,2220,FIN0031,Amazon,Software,Finance
2024-04-16,1026,FIN0032,Amazon,Travel,Finance
2024-04-16,1236,FIN0033,Uber,Travel,Finance
2024-04-16,1660,FIN0034,Amazon,Office,Finance
2024-04-16,1124,FIN0035,Amazon,Food,Finance
2024-04-16,719,FIN0036,Amazon,Electronics,Finance
2024-04-16,945,FIN0037,Uber,Office,Finance
2024-04-16,1590,FIN0038,Amazon,Electronics,Finance
2024-04-16,3627,FIN0039,Uber,Electronics,Finance
2024-04-16,1780,FIN0040,Swiggy,Food,Finance
2024-04-16,311,FIN0041,Flipkart,Software,Finance
2024-04-16,2286,FIN0042,Swiggy,Electronics,Finance
2024-04-16,3460,FIN0043,Swiggy,Software,Finance
2024-04-16,1586,FIN0044,Uber,Software,Finance
2024-04-16,1971,FIN0045,Uber,Electronics,Finance
2024-04-16,148937,FIN0046,Flipkart,Office,Finance
2024-04-16,1868,FIN0047,Amazon,Food,Finance
2024-04-16,1415,FIN0048,Swiggy,Electronics,Finance
2024-04-16,3257,FIN0049,MakeMyTrip,Software,Finance
2024-04-16,2048,FIN0050,Flipkart,Electronics,Finance
2024-04-16,1770,IT0001,Flipkart,Office,IT
2024-04-16,1874,IT0002,MakeMyTrip,Electronics,IT
2024-04-16,1408,IT0003,Amazon,Software,IT
2024-04-16,3214,IT0004,Uber,Food,IT
2024-04-16,3556,IT0005,MakeMyTrip,Electronics,IT
2024-04-16,2988,IT0006,Swiggy,Electronics,IT
2024-04-16,3601,IT0007,Swiggy,Food,IT
2024-04-16,2634,IT0008,MakeMyTrip,Software,IT
2024-04-16,3508,IT0009,Swiggy,Electronics,IT
2024-04-16,1295,IT0010,MakeMyTrip,Food,IT
2024-04-16,1811,IT0011,MakeMyTrip,Food,IT
2024-04-16,601,IT0012,MakeMyTrip,Food,IT
2024-04-16,2898,IT0013,MakeMyTrip,Electronics,IT
2024-04-16,3946,IT0014,Swiggy,Office,IT
2024-04-16,1264,IT0015,Amazon,Software,IT
2024-04-16,2225,IT0016,Amazon,Food,IT
2024-04-16,1365,IT0017,Flipkart,Travel,IT
2024-04-16,925,IT0018,Swiggy,Office,IT
2024-04-16,3918,IT0019,Uber,Electronics,IT
2024-04-16,3746,IT0020,Flipkart,Electronics,IT
2024-04-16,3844,IT0021,Amazon,Food,IT
2024-04-16,1412,IT0022,Swiggy,Software,IT
2024-04-16,3770,IT0023,Amazon,Office,IT
2024-04-16,1179,IT0024,Uber,Food,IT
2024-04-16,1255,IT0025,MakeMyTrip,Office,IT
2024-04-16,2284,IT0026,Amazon,Travel,IT
2024-04-16,1792,IT0027,Swiggy,Food,IT
2024-04-16,1043,IT0028,Flipkart,Electronics,IT
2024-04-16,2674,IT0029,MakeMyTrip,Electronics,IT
2024-04-16,1121,IT0030,Amazon,Software,IT
