date,amount,emp_id,vendor,category,department
2024-02-01,299,FIN0001,Flipkart,Software,Finance
2024-02-01,2233,FIN0002,Flipkart,Food,Finance
2024-02-01,2499,FIN0003,Swiggy,Software,Finance
2024-02-01,3282,FIN0004,MakeMyTrip,Electronics,Finance
2024-02-01,3978,FIN0005,Uber,Food,Finance
2024-02-01,1102,FIN0006,MakeMyTrip,Software,Finance
2024-02-01,139392,FIN0007,Flipkart,Electronics,Finance
2024-02-01,2929,FIN0008,Swiggy,Software,Finance
2024-02-01,430,FIN0009,MakeMyTrip,Food,Finance
2024-02-01,2099,FIN0010,MakeMyTrip,Electronics,Finance
2024-02-01,3477,FIN0011,Amazon,Software,Finance
2024-02-01,2318,FIN0012,Swiggy,Electronics,Finance
2024-02-01,3149,FIN0013,MakeMyTrip,Electronics,Finance
2024-02-01,2555,FIN0014,Amazon,Food,Finance
2024-02-01,444,FIN0015,Swiggy,Travel,Finance
2024-02-01,2761,FIN0016,Flipkart,Software,Finance
2024-02-01,1231,FIN0017,Uber,Electronics,Finance
2024-02-01,2716,FIN0018,Amazon,Electronics,Finance
2024-02-01,2415,FIN0019,Amazon,Food,Finance
2024-02-01,2476,FIN0020,Uber,Electronics,Finance
2024-02-01,333,FIN0021,Uber,Software,Finance
2024-02-01,346,FIN0022,Flipkart,Food,Finance
2024-02-01,2977,FIN0023,MakeMyTrip,Software,Finance
2024-02-01,1057,FIN0024,Swiggy,Electronics,Finance
2024-02-01,3950,FIN0025,Amazon,Food,Finance
2024-02-01,3709,FIN0026,Uber,Office,Finance
2024-02-01,417,FIN0027,Amazon,Office,Finance
2024-02-01,2090,FIN0028,Amazon,Software,Finance
2024-02-01,1672,FIN0029,Amazon,Software,Finance
2024-02-01,871,FIN0030,Swiggy,Office,Finance
2024-02-01,1805,FIN0031,Uber,Software,Finance
2024-02-01,2813,FIN0032,Uber,Office,Finance
2024-02-01,3674,FIN0033,Amazon,Electronics,Finance
2024-02-01,1437,FIN0034,Amazon,Travel,Finance
2024-02-01,3282,FIN0035,Uber,Software,Finance
2024-02-01,502,FIN0036,Flipkart,Electronics,Finance
2024-02-01,510,FIN0037,Swiggy,Travel,Finance
2024-02-01,3451,FIN0038,Amazon,Food,Finance
2024-02-01,2974,FIN0039,MakeMyTrip,Office,Finance
2024-02-01,2895,FIN0040,Uber,Software,Finance
2024-02-01,338,FIN0041,Uber,Electronics,Finance
2024-02-01,1155,FIN0042,Amazon,Food,Finance
2024-02-01,1563,FIN0043,Uber,Software,Finance
2024-02-01,2136,FIN0044,Flipkart,Office,Finance
2024-02-01,2689,FIN0045,Flipkart,Travel,Finance
2024-02-01,3087,FIN0046,Uber,Electronics,Finance
2024-02-01,375,FIN0047,Uber,Food,Finance
2024-02-01,1093,FIN0048,Amazon,Travel,Finance
2024-02-01,540,FIN0049,Swiggy,Food,Finance
2024-02-01,1469,FIN0050,MakeMyTrip,Software,Finance
2024-02-01,2741,IT0001,Swiggy,Office,IT
2024-02-01,702,IT0002,Amazon,Travel,IT
2024-02-01,2878,IT0003,Amazon,Travel,IT
2024-02-01,1645,IT0004,Uber,Software,IT
2024-02-01,3609,IT0005,Swiggy,Software,IT
2024-02-01,2182,IT0006,MakeMyTrip,Food,IT
2024-02-01,1439,IT0007,Swiggy,Software,IT
2024-02-01,2123,IT0008,Amazon,Electronics,IT
2024-02-01,1039,IT0009,Uber,Travel,IT
2024-02-01,2276,IT0010,MakeMyTrip,Electronics,IT
2024-02-01,2567,IT0011,MakeMyTrip,Food,IT
2024-02-01,3408,IT0012,Uber,Food,IT
2024-02-01,1085,IT0013,Amazon,Electronics,IT
2024-02-01,3146,IT0014,Flipkart,Food,IT
2024-02-01,2762,IT0015,Amazon,Travel,IT
2024-02-01,1892,IT0016,Uber,Food,IT
2024-02-01,952,IT0017,Uber,Office,IT
2024-02-01,1836,IT0018,Uber,Food,IT
2024-02-01,1350,IT0019,Swiggy,Electronics,IT
2024-02-01,2293,IT0020,MakeMyTrip,Office,IT
2024-02-01,3848,IT0021,Flipkart,Office,IT
2024-02-01,2803,IT0022,Uber,Software,IT
2024-02-01,3999,IT0023,Uber,Office,IT
2024-02-01,928,IT0024,Swiggy,Travel,IT
2024-02-01,44858,IT0025,MakeMyTrip,Office,IT
2024-02-01,3482,IT0026,Swiggy,Office,IT
2024-02-01,3723,IT0027,Amazon,Food,IT
2024-02-01,3691,IT0028,Amazon,Food,IT
2024-02-01,2570,IT0029,Swiggy,Travel,IT
2024-02-01,1036,IT0030,MakeMyTrip,Food,IT
2024-02-01,324,IT0031,Swiggy,Travel,IT
2024-02-01,2596,IT0032,Flipkart,Electronics,IT
2024-02-01,1318,IT0033,Swiggy,Food,IT
2024-02-01,2783,IT0034,Flipkart,Office,IT
2024-02-01,3232,IT0035,Uber,Software,IT
2024-02-01,3167,IT0036,Uber,Travel,IT
2024-02-01,570,IT0037,MakeMyTrip,Office,IT
2024-02-01,112478,IT0038,Swiggy,Software,IT
2024-02-01,2225,IT0039,Uber,Office,IT
2024-02-01,1851,IT0040,Uber,Food,IT
2024-02-01,237,IT0041,MakeMyTrip,Software,IT
2024-02-01,1165,IT0042,Flipkart,Travel,IT
2024-02-01,3445,IT0043,Uber,Electronics,IT
2024-02-01,962,IT0044,Swiggy,Electronics,IT
2024-02-01,2374,IT0045,MakeMyTrip,Electronics,IT
2024-02-01,127736,IT0046,Flipkart,Office,IT
2024-02-01,3027,IT0047,Amazon,Travel,IT
2024-02-01,78107,IT0048,Amazon,Electronics,IT
2024-02-01,13962,IT0049,Uber,Software,IT
2024-02-01,486,IT0050,Flipkart,Electronics,IT
2024-02-01,3173,HR0001,Uber,Electronics,HR
2024-02-01,1121,HR0002,Swiggy,Travel,HR
2024-02-01,364,HR0003,Swiggy,Travel,HR
2024-02-01,2923,HR0004,Flipkart,Office,HR
2024-02-01,1697,HR0005,Uber,Office,HR
2024-02-01,565,HR0006,Flipkart,Software,HR
2024-02-01,2100,HR0007,Swiggy,Office,HR
2024-02-01,2292,HR0008,Uber,Office,HR
2024-02-01,2383,HR0009,Flipkart,Software,HR
2024-02-01,2488,HR0010,Uber,Electronics,HR
2024-02-01,2627,HR0011,Swiggy,Software,HR
2024-02-01,1279,HR0012,Uber,Software,HR
2024-02-01,3065,HR0013,Uber,Food,HR
2024-02-01,3178,HR0014,MakeMyTrip,Food,HR
2024-02-01,41072,HR0015,Uber,Software,HR
2024-02-01,2949,HR0016,MakeMyTrip,Office,HR
2024-02-01,1368,HR0017,Uber,Electronics,HR
2024-02-01,3739,HR0018,Flipkart,Office,HR
2024-02-01,3588,HR0019,Swiggy,Office,HR
2024-02-01,3787,HR0020,Amazon,Travel,HR
2024-02-01,2048,HR0021,Flipkart,Food,HR
2024-02-01,3919,HR0022,MakeMyTrip,Software,HR
2024-02-01,3840,HR0023,Uber,Office,HR
2024-02-01,3241,HR0024,Amazon,Travel,HR
2024-02-01,1218,HR0025,Swiggy,Office,HR
2024-02-01,3245,HR0026,Amazon,Food,HR
2024-02-01,1563,HR0027,Amazon,Food,HR
2024-02-01,3338,HR0028,Swiggy,Travel,HR
2024-02-01,637,HR0029,MakeMyTrip,Software,HR
2024-02-01,2303,HR0030,MakeMyTrip,Electronics,HR
2024-02-01,2839,HR0031,Uber,Food,HR
2024-02-01,2239,HR0032,Swiggy,Food,HR
2024-02-01,156234,HR0033,Amazon,Software,HR
2024-02-01,2419,HR0034,Flipkart,Office,HR
2024-02-01,1059,HR0035,Swiggy,Food,HR
2024-02-01,3668,HR0036,Swiggy,Travel,HR
2024-02-01,2652,HR0037,Uber,Software,HR
2024-02-01,1599,HR0038,Uber,Software,HR
2024-02-01,790,HR0039,Uber,Travel,HR
2024-02-01,422,HR0040,MakeMyTrip,Travel,HR
2024-02-01,2802,HR0041,MakeMyTrip,Electronics,HR
2024-02-01,584,HR0042,Flipkart,Travel,HR
2024-02-01,1845,HR0043,Swiggy,Food,HR
