date,amount,emp_id,vendor,category,department
2024-02-16,1162,FIN0001,MakeMyTrip,Software,Finance
2024-02-16,3621,FIN0002,Flipkart,Food,Finance
2024-02-16,1500,FIN0003,MakeMyTrip,Electronics,Finance
2024-02-16,3555,FIN0004,Amazon,Electronics,Finance
2024-02-16,1333,FIN0005,MakeMyTrip,Electronics,Finance
2024-02-16,1820,FIN0006,Flipkart,Food,Finance
2024-02-16,287,FIN0007,MakeMyTrip,Travel,Finance
2024-02-16,447,FIN0008,MakeMyTrip,Food,Finance
2024-02-16,1635,FIN0009,Amazon,Software,Finance
2024-02-16,212,FIN0010,Flipkart,Software,Finance
2024-02-16,1983,FIN0011,MakeMyTrip,Travel,Finance
2024-02-16,1214,FIN0012,Amazon,Food,Finance
2024-02-16,3888,FIN0013,MakeMyTrip,Food,Finance
2024-02-16,89323,FIN0014,Swiggy,Office,Finance
2024-02-16,3959,FIN0015,Swiggy,Travel,Finance
2024-02-16,1693,FIN0016,Flipkart,Food,Finance
2024-02-16,3139,FIN0017,Uber,Travel,Finance
2024-02-16,2060,FIN0018,Swiggy,Electronics,Finance
2024-02-16,3471,FIN0019,Flipkart,Office,Finance
2024-02-16,1490,FIN0020,MakeMyTrip,Electronics,Finance
2024-02-16,3218,FIN0021,Flipkart,Food,Finance
2024-02-16,2765,FIN0022,Uber,Travel,Finance
2024-02-16,399,FIN0023,MakeMyTrip,Travel,Finance
2024-02-16,3732,FIN0024,Uber,Food,Finance
2024-02-16,2449,FIN0025,Amazon,Software,Finance
2024-02-16,283,FIN0026,MakeMyTrip,Office,Finance
2024-02-16,3329,FIN0027,Swiggy,Travel,Finance
2024-02-16,2979,FIN0028,Amazon,Software,Finance
2024-02-16,3329,FIN0029,Amazon,Software,Finance
2024-02-16,790,FIN0030,Amazon,Electronics,Finance
2024-02-16,1542,FIN0031,MakeMyTrip,Travel,Finance
2024-02-16,3427,FIN0032,Amazon,Travel,Finance
2024-02-16,2208,FIN0033,Swiggy,Food,Finance
2024-02-16,2563,FIN0034,MakeMyTrip,Electronics,Finance
2024-02-16,2440,FIN0035,Uber,Food,Finance
2024-02-16,3422,FIN0036,Uber,Office,Finance
2024-02-16,1352,FIN0037,MakeMyTrip,Electronics,Finance
2024-02-16,3271,FIN0038,MakeMyTrip,Electronics,Finance
2024-02-16,130329,FIN0039,MakeMyTrip,Office,Finance
2024-02-16,3900,FIN0040,Amazon,Electronics,Finance
2024-02-16,1520,FIN0041,Flipkart,Food,Finance
2024-02-16,385,FIN0042,Swiggy,Electronics,Finance
2024-02-16,521,FIN0043,Amazon,Food,Finance
2024-02-16,3281,FIN0044,Amazon,Electronics,Finance
2024-02-16,3407,FIN0045,Flipkart,Software,Finance
2024-02-16,3505,FIN0046,MakeMyTrip,Software,Finance
2024-02-16,862,FIN0047,Amazon,Software,Finance
2024-02-16,884,FIN0048,Amazon,Software,Finance
2024-02-16,2026,FIN0049,Flipkart,Travel,Finance
2024-02-16,302,FIN0050,Swiggy,Electronics,Finance
2024-02-16,2528,IT0001,MakeMyTrip,Office,IT
2024-02-16,3852,IT0002,Flipkart,Food,IT
2024-02-16,125454,IT0003,Uber,Food,IT
2024-02-16,3356,IT0004,Uber,Office,IT
2024-02-16,2801,IT0005,Amazon,Travel,IT
2024-02-16,1365,IT0006,Amazon,Electronics,IT
2024-02-16,1576,IT0007,Flipkart,Electronics,IT
2024-02-16,2103,IT0008,Swiggy,Food,IT
2024-02-16,1310,IT0009,Amazon,Office,IT
2024-02-16,3200,IT0010,Uber,Travel,IT
2024-02-16,1933,IT0011,Swiggy,Electronics,IT
2024-02-16,799,IT0012,Flipkart,Electronics,IT
2024-02-16,1251,IT0013,Swiggy,Electronics,IT
2024-02-16,1232,IT0014,Uber,Software,IT
2024-02-16,1549,IT0015,MakeMyTrip,Electronics,IT
2024-02-16,357,IT0016,Uber,Food,IT
2024-02-16,2348,IT0017,Flipkart,Office,IT
2024-02-16,860,IT0018,Flipkart,Office,IT
2024-02-16,494,IT0019,Flipkart,Software,IT
2024-02-16,222,IT0020,Amazon,Travel,IT
2024-02-16,2674,IT0021,Swiggy,Electronics,IT
2024-02-16,3650,IT0022,Uber,Travel,IT
2024-02-16,1146,IT0023,Swiggy,Office,IT
2024-02-16,2366,IT0024,MakeMyTrip,Food,IT
2024-02-16,2151,IT0025,Amazon,Office,IT
2024-02-16,4000,IT0026,Swiggy,Electronics,IT
2024-02-16,2512,IT0027,Uber,Travel,IT
2024-02-16,492,IT0028,MakeMyTrip,Software,IT
2024-02-16,2784,IT0029,MakeMyTrip,Office,IT
2024-02-16,3823,IT0030,Uber,Electronics,IT
2024-02-16,1385,IT0031,Swiggy,Travel,IT
2024-02-16,862,IT0032,MakeMyTrip,Travel,IT
2024-02-16,2144,IT0033,Swiggy,Software,IT
2024-02-16,469,IT0034,Uber,Electronics,IT
2024-02-16,2406,IT0035,Amazon,Electronics,IT
2024-02-16,80699,IT0036,Amazon,Food,IT
2024-02-16,836,IT0037,Flipkart,Office,IT
2024-02-16,1338,IT0038,Swiggy,Software,IT
2024-02-16,1736,IT0039,Swiggy,Software,IT
2024-02-16,59361,IT0040,Amazon,Food,IT
2024-02-16,497,IT0041,Amazon,Food,IT
2024-02-16,3327,IT0042,Uber,Software,IT
2024-02-16,1796,IT0043,Swiggy,Office,IT
2024-02-16,2396,IT0044,Uber,Food,IT
2024-02-16,2967,IT0045,Amazon,Electronics,IT
2024-02-16,2144,IT0046,Amazon,Electronics,IT
