date,amount,emp_id,vendor,category,department
2024-01-01,3302,FIN0001,Uber,Electronics,Finance
2024-01-01,3301,FIN0002,Flipkart,Travel,Finance
2024-01-01,1428,FIN0003,Swiggy,Electronics,Finance
2024-01-01,1915,FIN0004,MakeMyTrip,Food,Finance
2024-01-01,2217,FIN0005,Flipkart,Electronics,Finance
2024-01-01,3264,FIN0006,Uber,Electronics,Finance
2024-01-01,3518,FIN0007,Flipkart,Electronics,Finance
2024-01-01,3545,FIN0008,Flipkart,Travel,Finance
2024-01-01,3578,FIN0009,Amazon,Electronics,Finance
2024-01-01,1137,FIN0010,Uber,Software,Finance
2024-01-01,3279,FIN0011,Uber,Electronics,Finance
2024-01-01,816,FIN0012,Amazon,Software,Finance
2024-01-01,2197,FIN0013,Swiggy,Travel,Finance
2024-01-01,3915,FIN0014,Flipkart,Office,Finance
2024-01-01,2601,FIN0015,MakeMyTrip,Travel,Finance
2024-01-01,3128,FIN0016,Amazon,Food,Finance
2024-01-01,1012,FIN0017,Flipkart,Food,Finance
2024-01-01,2689,FIN0018,Uber,Software,Finance
2024-01-01,2200,FIN0019,Amazon,Software,Finance
2024-01-01,1185,FIN0020,Flipkart,Electronics,Finance
2024-01-01,1454,FIN0021,Amazon,Office,Finance
2024-01-01,2950,FIN0022,MakeMyTrip,Software,Finance
2024-01-01,3683,FIN0023,MakeMyTrip,Travel,Finance
2024-01-01,3014,FIN0024,Swiggy,Electronics,Finance
2024-01-01,1196,FIN0025,Flipkart,Software,Finance
2024-01-01,3506,FIN0026,Amazon,Food,Finance
2024-01-01,2358,FIN0027,Uber,Software,Finance
2024-01-01,3798,FIN0028,Amazon,Electronics,Finance
2024-01-01,2113,FIN0029,MakeMyTrip,Electronics,Finance
2024-01-01,3261,FIN0030,Swiggy,Software,Finance
2024-01-01,1449,FIN0031,Flipkart,Software,Finance
2024-01-01,2942,FIN0032,MakeMyTrip,Software,Finance
2024-01-01,1669,FIN0033,Flipkart,Food,Finance
2024-01-01,624,FIN0034,Swiggy,Software,Finance
2024-01-01,421,FIN0035,Uber,Software,Finance
2024-01-01,3238,FIN0036,MakeMyTrip,Software,Finance
2024-01-01,3831,FIN0037,Swiggy,Travel,Finance
2024-01-01,1819,FIN0038,Swiggy,Software,Finance
2024-01-01,863,FIN0039,Flipkart,Electronics,Finance
2024-01-01,237,FIN0040,Amazon,Electronics,Finance
2024-01-01,1991,FIN0041,Uber,Travel,Finance
2024-01-01,3406,FIN0042,Amazon,Electronics,Finance
2024-01-01,496,FIN0043,Amazon,Software,Finance
2024-01-01,957,FIN0044,Uber,Electronics,Finance
2024-01-01,53625,FIN0045,Amazon,Food,Finance
2024-01-01,1426,FIN0046,Uber,Food,Finance
2024-01-01,67926,FIN0047,Flipkart,Software,Finance
2024-01-01,412,FIN0048,Amazon,Travel,Finance
2024-01-01,646,FIN0049,Amazon,Office,Finance
2024-01-01,3773,FIN0050,Swiggy,Software,Finance
2024-01-01,699,IT0001,Amazon,Food,IT
2024-01-01,792,IT0002,Swiggy,Travel,IT
2024-01-01,1744,IT0003,Amazon,Travel,IT
2024-01-01,2254,IT0004,Swiggy,Office,IT
2024-01-01,2524,IT0005,Flipkart,Office,IT
2024-01-01,1921,IT0006,MakeMyTrip,Software,IT
2024-01-01,3701,IT0007,MakeMyTrip,Travel,IT
2024-01-01,2112,IT0008,Flipkart,Travel,IT
2024-01-01,1046,IT0009,Amazon,Travel,IT
2024-01-01,2862,IT0010,Flipkart,Travel,IT
2024-01-01,3480,IT0011,Swiggy,Food,IT
2024-01-01,2996,IT0012,Flipkart,Office,IT
2024-01-01,1069,IT0013,MakeMyTrip,Electronics,IT
2024-01-01,1247,IT0014,Uber,Travel,IT
2024-01-01,2482,IT0015,Uber,Food,IT
2024-01-01,3124,IT0016,MakeMyTrip,Software,IT
2024-01-01,3256,IT0017,Amazon,Electronics,IT
2024-01-01,363,IT0018,Flipkart,Electronics,IT
2024-01-01,302,IT0019,Swiggy,Electronics,IT
2024-01-01,1059,IT0020,Swiggy,Food,IT
2024-01-01,2342,IT0021,Swiggy,Software,IT
2024-01-01,1238,IT0022,Amazon,Electronics,IT
2024-01-01,463,IT0023,Uber,Office,IT
2024-01-01,3640,IT0024,Uber,Office,IT
2024-01-01,1757,IT0025,MakeMyTrip,Software,IT
2024-01-01,3858,IT0026,Swiggy,Software,IT
2024-01-01,2975,IT0027,MakeMyTrip,Electronics,IT
2024-01-01,1237,IT0028,Swiggy,Food,IT
2024-01-01,489,IT0029,Swiggy,Office,IT
2024-01-01,3264,IT0030,MakeMyTrip,Software,IT
2024-01-01,1540,IT0031,Swiggy,Software,IT
2024-01-01,3288,IT0032,Uber,Travel,IT
2024-01-01,3788,IT0033,Flipkart,Software,IT
2024-01-01,3885,IT0034,Uber,Food,IT
2024-01-01,1774,IT0035,Uber,Travel,IT
2024-01-01,3667,IT0036,Uber,Office,IT
2024-01-01,2478,IT0037,Amazon,Electronics,IT
2024-01-01,3971,IT0038,Amazon,Travel,IT
2024-01-01,1354,IT0039,Flipkart,Electronics,IT
2024-01-01,2408,IT0040,MakeMyTrip,Travel,IT
2024-01-01,1732,IT0041,Amazon,Food,IT
2024-01-01,884,IT0042,Amazon,Food,IT
2024-01-01,3500,IT0043,MakeMyTrip,Electronics,IT
2024-01-01,3675,IT0044,MakeMyTrip,Electronics,IT
2024-01-01,1383,IT0045,MakeMyTrip,Electronics,IT
2024-01-01,2712,IT0046,Amazon,Software,IT
2024-01-01,3638,IT0047,Swiggy,Food,IT
2024-01-01,2272,IT0048,MakeMyTrip,Travel,IT
2024-01-01,3323,IT0049,Uber,Office,IT
2024-01-01,3853,IT0050,Flipkart,Electronics,IT
2024-01-01,3344,HR0001,Amazon,Office,HR
2024-01-01,645,HR0002,Uber,Office,HR
2024-01-01,2360,HR0003,Amazon,Electronics,HR
2024-01-01,436,HR0004,MakeMyTrip,Office,HR
2024-01-01,590,HR0005,Flipkart,Software,HR
2024-01-01,877,HR0006,Amazon,Software,HR
2024-01-01,3740,HR0007,Amazon,Food,HR
2024-01-01,1018,HR0008,Uber,Electronics,HR
2024-01-01,601,HR0009,Swiggy,Electronics,HR
2024-01-01,2941,HR0010,Flipkart,Software,HR
2024-01-01,2009,HR0011,MakeMyTrip,Food,HR
2024-01-01,2490,HR0012,Amazon,Office,HR
2024-01-01,393,HR0013,Flipkart,Software,HR
2024-01-01,1613,HR0014,Swiggy,Office,HR
2024-01-01,278,HR0015,Uber,Electronics,HR
2024-01-01,3630,HR0016,MakeMyTrip,Travel,HR
2024-01-01,425,HR0017,MakeMyTrip,Software,HR
2024-01-01,1761,HR0018,MakeMyTrip,Electronics,HR
2024-01-01,2977,HR0019,Amazon,Software,HR
2024-01-01,2137,HR0020,Swiggy,Software,HR
2024-01-01,511,HR0021,MakeMyTrip,Software,HR
2024-01-01,3334,HR0022,Flipkart,Software,HR
2024-01-01,2885,HR0023,MakeMyTrip,Software,HR
2024-01-01,615,HR0024,Amazon,Electronics,HR
2024-01-01,1513,HR0025,MakeMyTrip,Food,HR
2024-01-01,3174,HR0026,Swiggy,Electronics,HR
2024-01-01,2973,HR0027,Swiggy,Software,HR
2024-01-01,2123,HR0028,Flipkart,Office,HR
2024-01-01,164419,HR0029,MakeMyTrip,Software,HR
2024-01-01,568,HR0030,Uber,Office,HR
2024-01-01,3112,HR0031,Uber,Software,HR
2024-01-01,3704,HR0032,Swiggy,Office,HR
2024-01-01,498,HR0033,MakeMyTrip,Food,HR
2024-01-01,2338,HR0034,Flipkart,Office,HR
2024-01-01,2373,HR0035,MakeMyTrip,Software,HR
2024-01-01,3525,HR0036,Uber,Software,HR
2024-01-01,509,HR0037,Flipkart,Electronics,HR
