date,amount,emp_id,vendor,category,department
2024-01-16,477,FIN0001,Flipkart,Office,Finance
2024-01-16,1730,FIN0002,MakeMyTrip,Software,Finance
2024-01-16,2181,FIN0003,MakeMyTrip,Travel,Finance
2024-01-16,1208,FIN0004,MakeMyTrip,Electronics,Finance
2024-01-16,1492,FIN0005,MakeMyTrip,Software,Finance
2024-01-16,2026,FIN0006,Amazon,Software,Finance
2024-01-16,1021,FIN0007,Flipkart,Office,Finance
2024-01-16,3383,FIN0008,Swiggy,Office,Finance
2024-01-16,2989,FIN0009,MakeMyTrip,Electronics,Finance
2024-01-16,3613,FIN0010,MakeMyTrip,Electronics,Finance
2024-01-16,106626,FIN0011,Amazon,Software,Finance
2024-01-16,1824,FIN0012,Flipkart,Food,Finance
2024-01-16,3167,FIN0013,Uber,Software,Finance
2024-01-16,3834,FIN0014,MakeMyTrip,Electronics,Finance
2024-01-16,1356,FIN0015,Flipkart,Food,Finance
2024-01-16,3075,FIN0016,Flipkart,Office,Finance
2024-01-16,1417,FIN0017,Amazon,Travel,Finance
2024-01-16,3148,FIN0018,Amazon,Office,Finance
2024-01-16,29171,FIN0019,Amazon,Food,Finance
2024-01-16,2910,FIN0020,Flipkart,Electronics,Finance
2024-01-16,36767,FIN0021,Swiggy,Office,Finance
2024-01-16,1638,FIN0022,Amazon,Electronics,Finance
2024-01-16,1877,FIN0023,Uber,Software,Finance
2024-01-16,1253,FIN0024,Flipkart,Electronics,Finance
2024-01-16,3617,FIN0025,Flipkart,Travel,Finance
2024-01-16,623,FIN0026,Uber,Travel,Finance
2024-01-16,3338,FIN0027,Flipkart,Office,Finance
2024-01-16,3493,FIN0028,Uber,Office,Finance
2024-01-16,2908,FIN0029,Swiggy,Electronics,Finance
2024-01-16,259,FIN0030,Uber,Food,Finance
2024-01-16,392,FIN0031,Flipkart,Travel,Finance
2024-01-16,3305,FIN0032,MakeMyTrip,Food,Finance
2024-01-16,1640,FIN0033,MakeMyTrip,Software,Finance
2024-01-16,3661,FIN0034,Swiggy,Travel,Finance
2024-01-16,1722,FIN0035,MakeMyTrip,Software,Finance
2024-01-16,2441,FIN0036,Amazon,Electronics,Finance
2024-01-16,3152,FIN0037,MakeMyTrip,Travel,Finance
2024-01-16,3688,FIN0038,Swiggy,Travel,Finance
2024-01-16,1669,FIN0039,Flipkart,Software,Finance
2024-01-16,2589,FIN0040,Swiggy,Software,Finance
2024-01-16,414,FIN0041,Swiggy,Food,Finance
2024-01-16,1525,FIN0042,Amazon,Electronics,Finance
2024-01-16,71490,FIN0043,MakeMyTrip,Office,Finance
2024-01-16,751,FIN0044,Swiggy,Food,Finance
2024-01-16,2482,FIN0045,MakeMyTrip,Office,Finance
2024-01-16,2940,FIN0046,MakeMyTrip,Food,Finance
2024-01-16,3363,FIN0047,Flipkart,Office,Finance
2024-01-16,991,FIN0048,Amazon,Software,Finance
2024-01-16,2534,FIN0049,Uber,Office,Finance
2024-01-16,3390,FIN0050,MakeMyTrip,Office,Finance
2024-01-16,3327,IT0001,Swiggy,Office,IT
2024-01-16,2707,IT0002,Uber,Electronics,IT
2024-01-16,1481,IT0003,Flipkart,Software,IT
2024-01-16,590,IT0004,Amazon,Office,IT
2024-01-16,810,IT0005,Amazon,Software,IT
2024-01-16,1434,IT0006,Flipkart,Travel,IT
2024-01-16,3539,IT0007,MakeMyTrip,Office,IT
2024-01-16,1880,IT0008,Uber,Food,IT
2024-01-16,1747,IT0009,Swiggy,Food,IT
2024-01-16,249,IT0010,MakeMyTrip,Food,IT
2024-01-16,2462,IT0011,Amazon,Office,IT
2024-01-16,1070,IT0012,Flipkart,Software,IT
2024-01-16,2779,IT0013,Swiggy,Office,IT
2024-01-16,643,IT0014,Amazon,Electronics,IT
2024-01-16,363,IT0015,Amazon,Office,IT
2024-01-16,2273,IT0016,Amazon,Travel,IT
2024-01-16,1017,IT0017,Uber,Travel,IT
2024-01-16,1453,IT0018,Swiggy,Food,IT
2024-01-16,3508,IT0019,Uber,Office,IT
2024-01-16,1143,IT0020,Amazon,Electronics,IT
2024-01-16,638,IT0021,MakeMyTrip,Electronics,IT
2024-01-16,2307,IT0022,Amazon,Food,IT
2024-01-16,2311,IT0023,Swiggy,Electronics,IT
2024-01-16,1705,IT0024,Flipkart,Software,IT
2024-01-16,3129,IT0025,Swiggy,Software,IT
2024-01-16,2865,IT0026,Flipkart,Software,IT
2024-01-16,3423,IT0027,Uber,Electronics,IT
2024-01-16,611,IT0028,Flipkart,Office,IT
2024-01-16,2503,IT0029,MakeMyTrip,Office,IT
2024-01-16,1180,IT0030,Flipkart,Travel,IT
2024-01-16,2167,IT0031,Uber,Software,IT
2024-01-16,2404,IT0032,Swiggy,Software,IT
2024-01-16,2795,IT0033,Swiggy,Software,IT
2024-01-16,33117,IT0034,Flipkart,Travel,IT
2024-01-16,371,IT0035,Uber,Electronics,IT
2024-01-16,1973,IT0036,Uber,Electronics,IT
2024-01-16,3223,IT0037,Swiggy,Office,IT
2024-01-16,3135,IT0038,MakeMyTrip,Food,IT
2024-01-16,1594,IT0039,Uber,Office,IT
2024-01-16,694,IT0040,Amazon,Food,IT
2024-01-16,1979,IT0041,Uber,Food,IT
2024-01-16,2698,IT0042,MakeMyTrip,Food,IT
2024-01-16,1284,IT0043,Swiggy,Office,IT
