date,amount,emp_id,vendor,category,department
2024-06-01,2277,FIN0001,Amazon,Software,Finance
2024-06-01,1963,FIN0002,Swiggy,Office,Finance
2024-06-01,3299,FIN0003,MakeMyTrip,Office,Finance
2024-06-01,3851,FIN0004,MakeMyTrip,Food,Finance
2024-06-01,70157,FIN0005,Amazon,Software,Finance
2024-06-01,3368,FIN0006,Flipkart,Food,Finance
2024-06-01,1349,FIN0007,MakeMyTrip,Office,Finance
2024-06-01,3852,FIN0008,Amazon,Electronics,Finance
2024-06-01,3387,FIN0009,Flipkart,Office,Finance
2024-06-01,2645,FIN0010,MakeMyTrip,Travel,Finance
2024-06-01,158242,FIN0011,Swiggy,Travel,Finance
2024-06-01,1505,FIN0012,MakeMyTrip,Electronics,Finance
2024-06-01,1605,FIN0013,Amazon,Office,Finance
2024-06-01,2781,FIN0014,Flipkart,Food,Finance
2024-06-01,553,FIN0015,Flipkart,Office,Finance
2024-06-01,3177,FIN0016,Uber,Food,Finance
2024-06-01,3494,FIN0017,Swiggy,Office,Finance
2024-06-01,249,FIN0018,Amazon,Food,Finance
2024-06-01,3968,FIN0019,MakeMyTrip,Electronics,Finance
2024-06-01,731,FIN0020,Uber,Travel,Finance
2024-06-01,2484,FIN0021,Flipkart,Office,Finance
2024-06-01,2213,FIN0022,MakeMyTrip,Food,Finance
2024-06-01,477,FIN0023,Swiggy,Electronics,Finance
2024-06-01,3806,FIN0024,Swiggy,Office,Finance
2024-06-01,1819,FIN0025,Uber,Electronics,Finance
2024-06-01,2950,FIN0026,Uber,Software,Finance
2024-06-01,2269,FIN0027,Swiggy,Travel,Finance
2024-06-01,422,FIN0028,Uber,Electronics,Finance
2024-06-01,217,FIN0029,MakeMyTrip,Travel,Finance
2024-06-01,3042,FIN0030,Swiggy,Travel,Finance
2024-06-01,2403,FIN0031,Uber,Travel,Finance
2024-06-01,418,FIN0032,Swiggy,Office,Finance
2024-06-01,3744,FIN0033,Swiggy,Travel,Finance
2024-06-01,1525,FIN0034,Uber,Electronics,Finance
2024-06-01,2423,FIN0035,Amazon,Office,Finance
2024-06-01,1812,FIN0036,Swiggy,Software,Finance
2024-06-01,1827,FIN0037,Uber,Software,Finance
2024-06-01,248,FIN0038,Flipkart,Travel,Finance
2024-06-01,2288,FIN0039,Uber,Electronics,Finance
2024-06-01,2543,FIN0040,MakeMyTrip,Food,Finance
2024-06-01,252,FIN0041,Flipkart,Travel,Finance
2024-06-01,125627,FIN0042,Amazon,Travel,Finance
2024-06-01,129076,FIN0043,MakeMyTrip,Office,Finance
2024-06-01,1833,FIN0044,Swiggy,Software,Finance
2024-06-01,3447,FIN0045,Flipkart,Food,Finance
2024-06-01,2860,FIN0046,Swiggy,Office,Finance
2024-06-01,3087,FIN0047,Swiggy,Travel,Finance
2024-06-01,997,FIN0048,Swiggy,Travel,Finance
2024-06-01,2675,FIN0049,MakeMyTrip,Software,Finance
2024-06-01,3828,FIN0050,Uber,Software,Finance
2024-06-01,1147,IT0001,Amazon,Software,IT
2024-06-01,2912,IT0002,MakeMyTrip,Office,IT
2024-06-01,3538,IT0003,MakeMyTrip,Travel,IT
2024-06-01,3024,IT0004,Amazon,Electronics,IT
2024-06-01,2413,IT0005,Swiggy,Office,IT
2024-06-01,821,IT0006,Swiggy,Software,IT
2024-06-01,225,IT0007,Amazon,Software,IT
2024-06-01,2198,IT0008,MakeMyTrip,Electronics,IT
2024-06-01,1237,IT0009,Flipkart,Travel,IT
2024-06-01,2986,IT0010,Swiggy,Travel,IT
2024-06-01,1139,IT0011,Uber,Travel,IT
2024-06-01,340,IT0012,Swiggy,Travel,IT
2024-06-01,2386,IT0013,Uber,Electronics,IT
2024-06-01,3306,IT0014,Swiggy,Travel,IT
2024-06-01,2222,IT0015,MakeMyTrip,Food,IT
2024-06-01,2470,IT0016,Uber,Software,IT
2024-06-01,3271,IT0017,Swiggy,Electronics,IT
2024-06-01,2070,IT0018,MakeMyTrip,Electronics,IT
2024-06-01,571,IT0019,Swiggy,Food,IT
2024-06-01,2618,IT0020,Amazon,Software,IT
2024-06-01,2283,IT0021,Uber,Office,IT
2024-06-01,3259,IT0022,MakeMyTrip,Software,IT
2024-06-01,1847,IT0023,Amazon,Electronics,IT
2024-06-01,2022,IT0024,Amazon,Office,IT
2024-06-01,3506,IT0025,Flipkart,Food,IT
2024-06-01,1522,IT0026,Flipkart,Electronics,IT
2024-06-01,65436,IT0027,MakeMyTrip,Travel,IT
2024-06-01,2322,IT0028,Flipkart,Electronics,IT
2024-06-01,998,IT0029,Uber,Food,IT
2024-06-01,790,IT0030,Swiggy,Software,IT
2024-06-01,3936,IT0031,Uber,Electronics,IT
2024-06-01,1462,IT0032,Swiggy,Software,IT
2024-06-01,3611,IT0033,Amazon,Food,IT
2024-06-01,962,IT0034,Amazon,Travel,IT
2024-06-01,2736,IT0035,Uber,Software,IT
2024-06-01,1109,IT0036,Uber,Food,IT
2024-06-01,138691,IT0037,Amazon,Software,IT
2024-06-01,1346,IT0038,Amazon,Software,IT
2024-06-01,1075,IT0039,Uber,Travel,IT
2024-06-01,3231,IT0040,MakeMyTrip,Software,IT
2024-06-01,246,IT0041,Uber,Office,IT
2024-06-01,1185,IT0042,MakeMyTrip,Food,IT
2024-06-01,3783,IT0043,Amazon,Travel,IT
2024-06-01,649,IT0044,Uber,Food,IT
2024-06-01,2031,IT0045,Uber,Food,IT
2024-06-01,2812,IT0046,Flipkart,Office,IT
2024-06-01,3205,IT0047,Flipkart,Food,IT
2024-06-01,369,IT0048,Uber,Food,IT
2024-06-01,3375,IT0049,Uber,Office,IT
2024-06-01,120988,IT0050,Uber,Software,IT
2024-06-01,781,HR0001,MakeMyTrip,Travel,HR
2024-06-01,178939,HR0002,MakeMyTrip,Travel,HR
2024-06-01,2261,HR0003,MakeMyTrip,Electronics,HR
2024-06-01,1132,HR0004,Swiggy,Office,HR
2024-06-01,1678,HR0005,Uber,Electronics,HR
2024-06-01,1295,HR0006,Swiggy,Electronics,HR
2024-06-01,3327,HR0007,MakeMyTrip,Office,HR
2024-06-01,2637,HR0008,Amazon,Software,HR
2024-06-01,2892,HR0009,Swiggy,Office,HR
2024-06-01,659,HR0010,Amazon,Software,HR
2024-06-01,76130,HR0011,Swiggy,Software,HR
2024-06-01,3328,HR0012,Uber,Software,HR
2024-06-01,1595,HR0013,Uber,Travel,HR
2024-06-01,2308,HR0014,MakeMyTrip,Travel,HR
2024-06-01,2738,HR0015,Uber,Office,HR
2024-06-01,2324,HR0016,Amazon,Software,HR
2024-06-01,1119,HR0017,Uber,Office,HR
2024-06-01,2233,HR0018,Flipkart,Food,HR
2024-06-01,3362,HR0019,Swiggy,Food,HR
2024-06-01,2196,HR0020,Flipkart,Food,HR
2024-06-01,152471,HR0021,Flipkart,Software,HR
2024-06-01,80172,HR0022,Amazon,Travel,HR
2024-06-01,1754,HR0023,MakeMyTrip,Software,HR
2024-06-01,1867,HR0024,Uber,Office,HR
2024-06-01,1737,HR0025,Swiggy,Software,HR
2024-06-01,1162,HR0026,Swiggy,Software,HR
2024-06-01,2610,HR0027,MakeMyTrip,Office,HR
2024-06-01,3231,HR0028,Flipkart,Software,HR
2024-06-01,2018,HR0029,Amazon,Software,HR
2024-06-01,2517,HR0030,Amazon,Electronics,HR
2024-06-01,3080,HR0031,Amazon,Food,HR
2024-06-01,610,HR0032,Uber,Software,HR
2024-06-01,2027,HR0033,Flipkart,Electronics,HR
2024-06-01,3694,HR0034,Swiggy,Software,HR
2024-06-01,3964,HR0035,Uber,Office,HR
2024-06-01,279,HR0036,Uber,Travel,HR
2024-06-01,1754,HR0037,MakeMyTrip,Electronics,HR
2024-06-01,2041,HR0038,Flipkart,Electronics,HR
2024-06-01,191794,HR0039,Uber,Office,HR
2024-06-01,323,HR0040,Flipkart,Electronics,HR
2024-06-01,344,HR0041,Flipkart,Electronics,HR
2024-06-01,1697,HR0042,Swiggy,Office,HR
2024-06-01,3236,HR0043,MakeMyTrip,Food,HR
2024-06-01,1965,HR0044,Uber,Food,HR
2024-06-01,3020,HR0045,MakeMyTrip,Office,HR
2024-06-01,3909,HR0046,Uber,Software,HR
2024-06-01,471,HR0047,Flipkart,Food,HR
2024-06-01,10121,HR0048,Amazon,Food,HR
2024-06-01,1072,HR0049,MakeMyTrip,Electronics,HR
