date,amount,emp_id,vendor,category,department
2024-06-16,148880,FIN0001,Uber,Office,Finance
2024-06-16,1094,FIN0002,Swiggy,Travel,Finance
2024-06-16,3432,FIN0003,Amazon,Software,Finance
2024-06-16,3146,FIN0004,Swiggy,Software,Finance
2024-06-16,1475,FIN0005,Swiggy,Electronics,Finance
2024-06-16,400,FIN0006,Amazon,Electronics,Finance
2024-06-16,1458,FIN0007,Swiggy,Food,Finance
2024-06-16,2252,FIN0008,MakeMyTrip,Food,Finance
2024-06-16,437,FIN0009,Uber,Food,Finance
2024-06-16,2821,FIN0010,Uber,Electronics,Finance
2024-06-16,3449,FIN0011,Uber,Electronics,Finance
2024-06-16,437,FIN0012,Swiggy,Food,Finance
2024-06-16,2735,FIN0013,MakeMyTrip,Travel,Finance
2024-06-16,2229,FIN0014,Swiggy,Software,Finance
2024-06-16,166890,FIN0015,Amazon,Electronics,Finance
2024-06-16,2157,FIN0016,Flipkart,Office,Finance
2024-06-16,653,FIN0017,Uber,Software,Finance
2024-06-16,2313,FIN0018,MakeMyTrip,Software,Finance
2024-06-16,1942,FIN0019,Uber,Software,Finance
2024-06-16,199687,FIN0020,Swiggy,Electronics,Finance
2024-06-16,2788,FIN0021,Flipkart,Software,Finance
2024-06-16,3202,FIN0022,MakeMyTrip,Travel,Finance
2024-06-16,2764,FIN0023,Amazon,Travel,Finance
2024-06-16,1570,FIN0024,MakeMyTrip,Travel,Finance
2024-06-16,3110,FIN0025,Swiggy,Electronics,Finance
2024-06-16,974,FIN0026,Swiggy,Software,Finance
2024-06-16,134818,FIN0027,MakeMyTrip,Travel,Finance
2024-06-16,1830,FIN0028,MakeMyTrip,Food,Finance
2024-06-16,1866,FIN0029,Swiggy,Travel,Finance
2024-06-16,3317,FIN0030,Amazon,Travel,Finance
2024-06-16,2227,FIN0031,Swiggy,Electronics,Finance
2024-06-16,1717,FIN0032,Uber,Travel,Finance
2024-06-16,1529,FIN0033,MakeMyTrip,Food,Finance
2024-06-16,1310,FIN0034,Swiggy,Office,Finance
2024-06-16,2866,FIN0035,Amazon,Travel,Finance
2024-06-16,555,FIN0036,Uber,Software,Finance
2024-06-16,2972,FIN0037,Uber,Software,Finance
2024-06-16,281,FIN0038,MakeMyTrip,Electronics,Finance
2024-06-16,206,FIN0039,Swiggy,Electronics,Finance
2024-06-16,3692,FIN0040,MakeMyTrip,Travel,Finance
2024-06-16,2031,FIN0041,Swiggy,Office,Finance
2024-06-16,2854,FIN0042,Uber,Office,Finance
2024-06-16,3881,FIN0043,Swiggy,Travel,Finance
2024-06-16,2552,FIN0044,Swiggy,Office,Finance
2024-06-16,1482,FIN0045,Uber,Food,Finance
2024-06-16,3834,FIN0046,Swiggy,Food,Finance
2024-06-16,3440,FIN0047,Swiggy,Office,Finance
2024-06-16,1344,FIN0048,Amazon,Food,Finance
