date,amount,emp_id,vendor,category,department
2024-03-01,2954,FIN0001,MakeMyTrip,Office,Finance
2024-03-01,1475,FIN0002,Swiggy,Office,Finance
2024-03-01,2436,FIN0003,Uber,Software,Finance
2024-03-01,983,FIN0004,Uber,Travel,Finance
2024-03-01,1214,FIN0005,Flipkart,Food,Finance
2024-03-01,3885,FIN0006,MakeMyTrip,Food,Finance
2024-03-01,3249,FIN0007,Flipkart,Electronics,Finance
2024-03-01,2235,FIN0008,Swiggy,Travel,Finance
2024-03-01,2104,FIN0009,Uber,Office,Finance
2024-03-01,2381,FIN0010,Amazon,Software,Finance
2024-03-01,2604,FIN0011,MakeMyTrip,Food,Finance
2024-03-01,3145,FIN0012,MakeMyTrip,Office,Finance
2024-03-01,3969,FIN0013,Flipkart,Software,Finance
2024-03-01,3488,FIN0014,Amazon,Software,Finance
2024-03-01,1767,FIN0015,Swiggy,Electronics,Finance
2024-03-01,3420,FIN0016,Flipkart,Food,Finance
2024-03-01,100176,FIN0017,Amazon,Travel,Finance
2024-03-01,481,FIN0018,MakeMyTrip,Software,Finance
2024-03-01,1270,FIN0019,Flipkart,Travel,Finance
2024-03-01,597,FIN0020,Flipkart,Travel,Finance
2024-03-01,1303,FIN0021,MakeMyTrip,Software,Finance
2024-03-01,1927,FIN0022,Amazon,Travel,Finance
2024-03-01,3628,FIN0023,Swiggy,Electronics,Finance
2024-03-01,1892,FIN0024,Amazon,Office,Finance
2024-03-01,218,FIN0025,Uber,Food,Finance
2024-03-01,1300,FIN0026,Flipkart,Food,Finance
2024-03-01,780,FIN0027,Flipkart,Electronics,Finance
2024-03-01,1518,FIN0028,Uber,Office,Finance
2024-03-01,394,FIN0029,Swiggy,Travel,Finance
2024-03-01,1978,FIN0030,Amazon,Electronics,Finance
2024-03-01,2747,FIN0031,Flipkart,Office,Finance
2024-03-01,3703,FIN0032,Flipkart,Software,Finance
2024-03-01,1360,FIN0033,Swiggy,Travel,Finance
2024-03-01,568,FIN0034,Flipkart,Food,Finance
2024-03-01,380,FIN0035,Uber,Food,Finance
2024-03-01,1522,FIN0036,MakeMyTrip,Electronics,Finance
2024-03-01,1595,FIN0037,Amazon,Electronics,Finance
2024-03-01,2656,FIN0038,Flipkart,Software,Finance
2024-03-01,2420,FIN0039,Uber,Food,Finance
2024-03-01,529,FIN0040,Swiggy,Software,Finance
2024-03-01,2518,FIN0041,Amazon,Software,Finance
2024-03-01,1647,FIN0042,Amazon,Software,Finance
2024-03-01,786,FIN0043,Flipkart,Office,Finance
2024-03-01,830,FIN0044,MakeMyTrip,Travel,Finance
2024-03-01,2798,FIN0045,Swiggy,Food,Finance
2024-03-01,2511,FIN0046,Amazon,Travel,Finance
2024-03-01,3598,FIN0047,Flipkart,Software,Finance
2024-03-01,1058,FIN0048,Flipkart,Electronics,Finance
2024-03-01,1182,FIN0049,Flipkart,Office,Finance
2024-03-01,2660,FIN0050,Uber,Software,Finance
2024-03-01,2027,IT0001,Uber,Office,IT
2024-03-01,2091,IT0002,MakeMyTrip,Travel,IT
2024-03-01,2529,IT0003,Amazon,Food,IT
2024-03-01,3239,IT0004,Amazon,Travel,IT
