date,amount,emp_id,vendor,category,department
2024-03-16,395,FIN0001,Amazon,Office,Finance
2024-03-16,2951,FIN0002,Flipkart,Software,Finance
2024-03-16,2898,FIN0003,Swiggy,Electronics,Finance
2024-03-16,2422,FIN0004,Flipkart,Travel,Finance
2024-03-16,1927,FIN0005,MakeMyTrip,Software,Finance
2024-03-16,1151,FIN0006,Swiggy,Food,Finance
2024-03-16,3803,FIN0007,Swiggy,Food,Finance
2024-03-16,1414,FIN0008,Swiggy,Software,Finance
2024-03-16,2887,FIN0009,Amazon,Travel,Finance
2024-03-16,3577,FIN0010,Swiggy,Food,Finance
2024-03-16,3954,FIN0011,Uber,Travel,Finance
2024-03-16,95507,FIN0012,Swiggy,Office,Finance
2024-03-16,1855,FIN0013,MakeMyTrip,Travel,Finance
2024-03-16,1640,FIN0014,Swiggy,Software,Finance
2024-03-16,3757,FIN0015,Swiggy,Electronics,Finance
2024-03-16,3176,FIN0016,Uber,Software,Finance
2024-03-16,61935,FIN0017,Uber,Electronics,Finance
2024-03-16,2949,FIN0018,Flipkart,Food,Finance
2024-03-16,2212,FIN0019,Amazon,Office,Finance
2024-03-16,3244,FIN0020,Flipkart,Software,Finance
2024-03-16,3471,FIN0021,Swiggy,Software,Finance
2024-03-16,2376,FIN0022,MakeMyTrip,Software,Finance
2024-03-16,1280,FIN0023,Uber,Food,Finance
2024-03-16,3305,FIN0024,MakeMyTrip,Electronics,Finance
2024-03-16,1496,FIN0025,Swiggy,Travel,Finance
2024-03-16,310,FIN0026,Flipkart,Electronics,Finance
2024-03-16,1833,FIN0027,Amazon,Software,Finance
2024-03-16,2133,FIN0028,Uber,Travel,Finance
2024-03-16,14883,FIN0029,Amazon,Travel,Finance
2024-03-16,378,FIN0030,Uber,Software,Finance
2024-03-16,323,FIN0031,Amazon,Food,Finance
2024-03-16,3604,FIN0032,Amazon,Food,Finance
2024-03-16,2384,FIN0033,Swiggy,Software,Finance
2024-03-16,2946,FIN0034,Swiggy,Office,Finance
2024-03-16,1076,FIN0035,Flipkart,Food,Finance
2024-03-16,961,FIN0036,Swiggy,Electronics,Finance
2024-03-16,1341,FIN0037,Swiggy,Software,Finance
2024-03-16,2144,FIN0038,Amazon,Software,Finance
2024-03-16,1365,FIN0039,Swiggy,Travel,Finance
2024-03-16,769,FIN0040,MakeMyTrip,Electronics,Finance
2024-03-16,3960,FIN0041,Amazon,Office,Finance
2024-03-16,3388,FIN0042,Swiggy,Office,Finance
2024-03-16,91143,FIN0043,Uber,Office,Finance
2024-03-16,2328,FIN0044,Flipkart,Office,Finance
2024-03-16,1145,FIN0045,Swiggy,Software,Finance
2024-03-16,3622,FIN0046,Uber,Electronics,Finance
2024-03-16,3988,FIN0047,Uber,Software,Finance
2024-03-16,1069,FIN0048,Flipkart,Travel,Finance
