date,amount,emp_id,vendor,category,department
2024-05-16,3709,FIN0001,MakeMyTrip,Office,Finance
2024-05-16,972,FIN0002,MakeMyTrip,Travel,Finance
2024-05-16,1863,FIN0003,Flipkart,Software,Finance
2024-05-16,504,FIN0004,Swiggy,Travel,Finance
2024-05-16,3727,FIN0005,Flipkart,Software,Finance
2024-05-16,2904,FIN0006,Amazon,Electronics,Finance
2024-05-16,262,FIN0007,Uber,Electronics,Finance
2024-05-16,3911,FIN0008,Flipkart,Software,Finance
2024-05-16,1080,FIN0009,Flipkart,Food,Finance
2024-05-16,3781,FIN0010,Swiggy,Food,Finance
2024-05-16,749,FIN0011,Uber,Food,Finance
2024-05-16,2629,FIN0012,Uber,Electronics,Finance
2024-05-16,944,FIN0013,Swiggy,Office,Finance
2024-05-16,3723,FIN0014,Swiggy,Software,Finance
2024-05-16,2869,FIN0015,Amazon,Electronics,Finance
2024-05-16,925,FIN0016,Flipkart,Food,Finance
2024-05-16,3728,FIN0017,Uber,Food,Finance
2024-05-16,966,FIN0018,Flipkart,Food,Finance
2024-05-16,1641,FIN0019,MakeMyTrip,Food,Finance
2024-05-16,1735,FIN0020,MakeMyTrip,Travel,Finance
2024-05-16,2056,FIN0021,Amazon,Electronics,Finance
2024-05-16,3344,FIN0022,Amazon,Food,Finance
2024-05-16,2448,FIN0023,Flipkart,Food,Finance
2024-05-16,731,FIN0024,MakeMyTrip,Office,Finance
2024-05-16,1139,FIN0025,MakeMyTrip,Office,Finance
2024-05-16,3742,FIN0026,Swiggy,Software,Finance
2024-05-16,2035,FIN0027,Swiggy,Software,Finance
2024-05-16,3099,FIN0028,Uber,Travel,Finance
2024-05-16,1374,FIN0029,MakeMyTrip,Software,Finance
2024-05-16,218,FIN0030,Flipkart,Food,Finance
2024-05-16,434,FIN0031,Amazon,Office,Finance
2024-05-16,3237,FIN0032,Swiggy,Food,Finance
2024-05-16,3858,FIN0033,Uber,Electronics,Finance
2024-05-16,1591,FIN0034,Uber,Food,Finance
2024-05-16,3169,FIN0035,MakeMyTrip,Electronics,Finance
2024-05-16,230,FIN0036,MakeMyTrip,Software,Finance
2024-05-16,985,FIN0037,Flipkart,Software,Finance
2024-05-16,3034,FIN0038,Uber,Office,Finance
2024-05-16,1801,FIN0039,Swiggy,Software,Finance
2024-05-16,3614,FIN0040,Uber,Food,Finance
2024-05-16,1546,FIN0041,Amazon,Travel,Finance
2024-05-16,3265,FIN0042,Swiggy,Electronics,Finance
2024-05-16,1478,FIN0043,Swiggy,Office,Finance
2024-05-16,2345,FIN0044,Amazon,Software,Finance
2024-05-16,431,FIN0045,Amazon,Software,Finance
2024-05-16,130293,FIN0046,Uber,Food,Finance
2024-05-16,707,FIN0047,Uber,Software,Finance
2024-05-16,2066,FIN0048,MakeMyTrip,Software,Finance
2024-05-16,652,FIN0049,Flipkart,Software,Finance
2024-05-16,286,FIN0050,Uber,Software,Finance
2024-05-16,1897,IT0001,Uber,Office,IT
2024-05-16,2016,IT0002,Amazon,Travel,IT
2024-05-16,507,IT0003,Amazon,Electronics,IT
2024-05-16,2896,IT0004,Flipkart,Electronics,IT
2024-05-16,3816,IT0005,Flipkart,Electronics,IT
2024-05-16,406,IT0006,MakeMyTrip,Travel,IT
2024-05-16,2878,IT0007,Flipkart,Office,IT
2024-05-16,279,IT0008,MakeMyTrip,Electronics,IT
2024-05-16,856,IT0009,Amazon,Food,IT
2024-05-16,1426,IT0010,MakeMyTrip,Electronics,IT
2024-05-16,345,IT0011,Uber,Travel,IT
2024-05-16,2416,IT0012,Amazon,Office,IT
2024-05-16,1760,IT0013,Flipkart,Electronics,IT
2024-05-16,599,IT0014,Flipkart,Food,IT
2024-05-16,1586,IT0015,MakeMyTrip,Software,IT
2024-05-16,3455,IT0016,Amazon,Office,IT
2024-05-16,3387,IT0017,Flipkart,Software,IT
2024-05-16,2254,IT0018,Uber,Food,IT
2024-05-16,647,IT0019,Amazon,Electronics,IT
2024-05-16,3624,IT0020,Swiggy,Office,IT
2024-05-16,313,IT0021,MakeMyTrip,Office,IT
2024-05-16,1117,IT0022,Swiggy,Software,IT
2024-05-16,2950,IT0023,MakeMyTrip,Electronics,IT
2024-05-16,1878,IT0024,Uber,Electronics,IT
2024-05-16,1107,IT0025,Flipkart,Food,IT
2024-05-16,1886,IT0026,MakeMyTrip,Travel,IT
2024-05-16,1025,IT0027,Amazon,Office,IT
2024-05-16,3136,IT0028,MakeMyTrip,Office,IT
2024-05-16,3925,IT0029,Uber,Travel,IT
2024-05-16,3825,IT0030,Flipkart,Electronics,IT
2024-05-16,3347,IT0031,MakeMyTrip,Software,IT
2024-05-16,3001,IT0032,Amazon,Electronics,IT
2024-05-16,643,IT0033,MakeMyTrip,Electronics,IT
2024-05-16,3687,IT0034,Uber,Software,IT
2024-05-16,400,IT0035,Swiggy,Travel,IT
2024-05-16,3991,IT0036,Flipkart,Electronics,IT
2024-05-16,3068,IT0037,Swiggy,Software,IT
2024-05-16,1218,IT0038,Amazon,Office,IT
2024-05-16,3486,IT0039,Flipkart,Electronics,IT
2024-05-16,1335,IT0040,Flipkart,Food,IT
2024-05-16,2060,IT0041,Swiggy,Software,IT
2024-05-16,186415,IT0042,Amazon,Office,IT
2024-05-16,1119,IT0043,Flipkart,Software,IT
2024-05-16,896,IT0044,Flipkart,Food,IT
2024-05-16,2761,IT0045,Uber,Food,IT
2024-05-16,2531,IT0046,Swiggy,Travel,IT
2024-05-16,3745,IT0047,Amazon,Food,IT
2024-05-16,2650,IT0048,Swiggy,Office,IT
2024-05-16,1184,IT0049,Uber,Office,IT
2024-05-16,2275,IT0050,Flipkart,Electronics,IT
2024-05-16,1844,HR0001,Flipkart,Travel,HR
2024-05-16,2599,HR0002,MakeMyTrip,Food,HR
2024-05-16,1127,HR0003,Flipkart,Travel,HR
2024-05-16,1671,HR0004,MakeMyTrip,Office,HR
2024-05-16,1452,HR0005,MakeMyTrip,Software,HR
2024-05-16,2978,HR0006,MakeMyTrip,Software,HR
2024-05-16,479,HR0007,Uber,Office,HR
2024-05-16,2958,HR0008,Swiggy,Software,HR
2024-05-16,3734,HR0009,Flipkart,Office,HR
2024-05-16,2553,HR0010,Swiggy,Software,HR
2024-05-16,3343,HR0011,Uber,Office,HR
2024-05-16,1135,HR0012,MakeMyTrip,Electronics,HR
2024-05-16,3702,HR0013,Flipkart,Office,HR
2024-05-16,130070,HR0014,Amazon,Software,HR
2024-05-16,874,HR0015,Amazon,Food,HR
2024-05-16,3807,HR0016,Amazon,Office,HR
2024-05-16,1529,HR0017,Swiggy,Office,HR
2024-05-16,321,HR0018,Uber,Office,HR
2024-05-16,1824,HR0019,MakeMyTrip,Office,HR
2024-05-16,1889,HR0020,MakeMyTrip,Food,HR
2024-05-16,2954,HR0021,Swiggy,Software,HR
2024-05-16,1820,HR0022,Uber,Food,HR
2024-05-16,2970,HR0023,Flipkart,Software,HR
2024-05-16,2226,HR0024,Amazon,Travel,HR
2024-05-16,1313,HR0025,Uber,Software,HR
2024-05-16,3403,HR0026,Flipkart,Software,HR
2024-05-16,3656,HR0027,Flipkart,Travel,HR
2024-05-16,3477,HR0028,Swiggy,Office,HR
2024-05-16,3403,HR0029,Amazon,Electronics,HR
2024-05-16,3172,HR0030,Uber,Food,HR
2024-05-16,2576,HR0031,Flipkart,Electronics,HR
2024-05-16,2165,HR0032,Amazon,Electronics,HR
2024-05-16,1831,HR0033,Swiggy,Software,HR
2024-05-16,2110,HR0034,Amazon,Travel,HR
2024-05-16,631,HR0035,MakeMyTrip,Travel,HR
2024-05-16,511,HR0036,MakeMyTrip,Travel,HR
2024-05-16,124362,HR0037,Amazon,Electronics,HR
2024-05-16,130121,HR0038,Amazon,Travel,HR
2024-05-16,2359,HR0039,Swiggy,Food,HR
2024-05-16,1206,HR0040,Amazon,Electronics,HR
2024-05-16,3683,HR0041,Flipkart,Office,HR
2024-05-16,690,HR0042,MakeMyTrip,Electronics,HR
2024-05-16,950,HR0043,Swiggy,Travel,HR
2024-05-16,2310,HR0044,Amazon,Office,HR
2024-05-16,69583,HR0045,Uber,Travel,HR
2024-05-16,1471,HR0046,Amazon,Electronics,HR
2024-05-16,2895,HR0047,Flipkart,Travel,HR
2024-05-16,1596,HR0048,Flipkart,Food,HR
2024-05-16,224,HR0049,Amazon,Travel,HR
2024-05-16,3247,HR0050,Amazon,Electronics,HR
2024-05-16,82553,OPS0001,MakeMyTrip,Electronics,Operations
2024-05-16,1526,OPS0002,Flipkart,Software,Operations
2024-05-16,1819,OPS0003,Swiggy,Electronics,Operations
2024-05-16,1128,OPS0004,MakeMyTrip,Food,Operations
2024-05-16,3052,OPS0005,MakeMyTrip,Office,Operations
2024-05-16,636,OPS0006,Swiggy,Office,Operations
2024-05-16,1161,OPS0007,Amazon,Software,Operations
2024-05-16,3678,OPS0008,Uber,Electronics,Operations
2024-05-16,3567,OPS0009,Amazon,Electronics,Operations
2024-05-16,1774,OPS0010,MakeMyTrip,Electronics,Operations
2024-05-16,2482,OPS0011,Amazon,Software,Operations
2024-05-16,1293,OPS0012,Amazon,Travel,Operations
2024-05-16,819,OPS0013,Uber,Electronics,Operations
